Occupations,noc_5,TOTAL_WITH_EMP_INC,AVG_EMP_INC,aioe,caioe,groupmean,noc_title,exposure_level,comp_level,quadrant,label
"12203 Assessors, business valuators and appraisers",12203,20,,6.516794378,5.188361007,0.5525,"Assessors, business valuators and appraisers",High Exposure,Low Complementarity,HE-LC,
13100 Administrative officers,13100,13135,40973.5972592311,6.621021758,5.443662771,0.525694444,Administrative officers,High Exposure,Low Complementarity,HE-LC,
13101 Property administrators,13101,825,50212.1212121212,6.618110325,4.516860297,0.665833333,Property administrators,High Exposure,High Complementarity,HE-HC,
13102 Payroll administrators,13102,1230,48387.8048780488,6.566024376,5.756214703,0.471666667,Payroll administrators,High Exposure,Low Complementarity,HE-LC,
13110 Administrative assistants,13110,13150,34093.1330798479,6.510392044,5.497769009,0.503888889,Administrative assistants,High Exposure,Low Complementarity,HE-LC,Administrative assistants
13111 Legal administrative assistants,13111,300,50140,6.616979534,5.756772194,0.478333333,Legal administrative assistants,High Exposure,Low Complementarity,HE-LC,
13112 Medical administrative assistants,13112,2270,35155.9471365639,6.10041421,4.643093038,0.587222222,Medical administrative assistants,High Exposure,Low Complementarity,HE-LC,
13201 Production and transportation logistics coordinators,13201,690,39517.3913043478,6.677801078,5.184570559,0.571944444,Production and transportation logistics coordinators,High Exposure,Low Complementarity,HE-LC,
14100 General office support workers,14100,5995,30123.6030025021,6.269058316,5.351560587,0.496805556,General office support workers,High Exposure,Low Complementarity,HE-LC,Office support workers
14101 Receptionists,14101,7935,23584.2974165091,6.499343417,5.699563102,0.471388889,Receptionists,High Exposure,Low Complementarity,HE-LC,
14102 Personnel clerks,14102,595,42252.1008403361,6.64449433,5.435565501,0.530277778,Personnel clerks,High Exposure,Low Complementarity,HE-LC,
14110 Survey interviewers and statistical clerks,14110,95,,6.112442163,4.894194754,0.548472222,Survey interviewers and statistical clerks,High Exposure,Low Complementarity,HE-LC,
14111 Data entry clerks,14111,1520,29234.2105263158,6.174677878,5.313653352,0.487777778,Data entry clerks,High Exposure,Low Complementarity,HE-LC,
14200 Accounting and related clerks,14200,3770,41581.4323607427,6.567777565,5.495074057,0.511547619,Accounting and related clerks,High Exposure,Low Complementarity,HE-LC,
"14201 Banking, insurance and other financial clerks",14201,50,,6.503054053,5.463079669,0.508680556,"Banking, insurance and other financial clerks",High Exposure,Low Complementarity,HE-LC,
14202 Collection clerks,14202,70,35142.8571428571,6.637043594,5.645174301,0.497777778,Collection clerks,High Exposure,Low Complementarity,HE-LC,
"14301 Correspondence, publication and regulatory clerks",14301,370,43797.2972972973,6.604468229,5.633978315,0.495277778,"Correspondence, publication and regulatory clerks",High Exposure,Low Complementarity,HE-LC,
14400 Shippers and receivers,14400,540,24559.2592592593,5.698171242,4.455653346,0.566388889,Shippers and receivers,Low Exposure,Low Complementarity,LE-LC,
14401 Storekeepers and partspersons,14401,175,,5.490511607,4.525096649,0.524166667,Storekeepers and partspersons,Low Exposure,Low Complementarity,LE-LC,
14402 Production logistics workers,14402,130,38192.3076923077,6.417394855,4.916437503,0.582222222,Production logistics workers,High Exposure,Low Complementarity,HE-LC,
14403 Purchasing and inventory control workers,14403,265,,6.591214235,5.624502814,0.495,Purchasing and inventory control workers,High Exposure,Low Complementarity,HE-LC,
14404 Dispatchers,14404,190,,6.488309259,5.428105144,0.511458333,Dispatchers,High Exposure,Low Complementarity,HE-LC,
14405 Transportation route and crew schedulers,14405,45,28000,6.570109431,4.748729094,0.625555556,Transportation route and crew schedulers,High Exposure,High Complementarity,HE-HC,
20010 Engineering managers,20010,95,67578.9473684211,6.530154689,4.190182592,0.706666667,Engineering managers,High Exposure,High Complementarity,HE-HC,
20011 Architecture and science managers,20011,280,84750,6.525015106,4.193223461,0.705694444,Architecture and science managers,High Exposure,High Complementarity,HE-HC,
20012 Computer and information systems managers,20012,1000,90480,6.606680196,4.65268905,0.644027778,Computer and information systems managers,High Exposure,High Complementarity,HE-HC,
21100 Physicists and astronomers,21100,25,110000,6.621194139,4.921518481,0.604930556,Physicists and astronomers,High Exposure,Low Complementarity,HE-LC,
21101 Chemists,21101,20,48000,6.364369049,4.461008831,0.6475,Chemists,High Exposure,High Complementarity,HE-HC,
21102 Geoscientists and oceanographers,21102,70,61714.2857142857,6.370044224,4.4169747,0.654861111,Geoscientists and oceanographers,High Exposure,High Complementarity,HE-HC,
21110 Biologists and related scientists,21110,2320,56003.6637931035,6.454008795,4.40791912,0.666035354,Biologists and related scientists,High Exposure,High Complementarity,HE-HC,
21111 Forestry professionals,21111,70,80000,5.999752806,3.949837264,0.69,Forestry professionals,High Exposure,High Complementarity,HE-HC,
"21112 Agricultural representatives, consultants and specialists",21112,65,57538.4615384615,5.943252743,4.511247605,0.585069444,"Agricultural representatives, consultants and specialists",Low Exposure,Low Complementarity,LE-LC,
21120 Public and environmental health and safety professionals,21120,1785,71415.1260504202,6.40604098,4.363123635,0.667916667,Public and environmental health and safety professionals,High Exposure,High Complementarity,HE-HC,Public health professionals
21200 Architects,21200,40,1e+05,6.521839404,4.393183488,0.674722222,Architects,High Exposure,High Complementarity,HE-HC,
21201 Landscape architects,21201,30,80000,6.531681464,4.633865128,0.638888889,Landscape architects,High Exposure,High Complementarity,HE-HC,
21202 Urban and land use planners,21202,430,61593.023255814,6.593738652,4.639427779,0.644722222,Urban and land use planners,High Exposure,High Complementarity,HE-HC,
"21210 Mathematicians, statisticians and actuaries",21210,330,82924.2424242424,6.688735262,5.248822313,0.563611111,"Mathematicians, statisticians and actuaries",High Exposure,Low Complementarity,HE-LC,
21211 Data scientists,21211,55,61454.5454545455,6.64236307,5.199012017,0.566111111,Data scientists,High Exposure,Low Complementarity,HE-LC,
21221 Business systems specialists,21221,250,64120,6.63112094,5.275972855,0.552638889,Business systems specialists,High Exposure,Low Complementarity,HE-LC,
21222 Information systems specialists,21222,1170,67292.7350427351,6.569506529,5.251024109,0.549027778,Information systems specialists,High Exposure,Low Complementarity,HE-LC,Information systems specialists
21223 Database analysts and data administrators,21223,820,51700,6.650596313,5.365705242,0.541527778,Database analysts and data administrators,High Exposure,Low Complementarity,HE-LC,
21230 Computer systems developers and programmers,21230,225,47511.1111111111,6.416177218,5.219193637,0.535648148,Computer systems developers and programmers,High Exposure,Low Complementarity,HE-LC,
21231 Software engineers and designers,21231,110,77590.9090909091,6.575901,1.017029778,0.611888889,Software engineers and designers,High Exposure,Low Complementarity,HE-LC,
21232 Software developers and programmers,21232,285,58280.701754386,6.607717052,5.623901402,0.497222222,Software developers and programmers,High Exposure,Low Complementarity,HE-LC,
21233 Web designers,21233,135,26703.7037037037,6.543558983,5.320003531,0.535277778,Web designers,High Exposure,Low Complementarity,HE-LC,
21234 Web developers and programmers,21234,545,48972.4770642202,6.566688631,5.514661638,0.508611111,Web developers and programmers,High Exposure,Low Complementarity,HE-LC,
21300 Civil engineers,21300,275,88363.6363636364,6.440660036,4.508050147,0.648518519,Civil engineers,High Exposure,High Complementarity,HE-HC,
21301 Mechanical engineers,21301,0,,6.447680579,4.525221407,0.646527778,Mechanical engineers,High Exposure,High Complementarity,HE-HC,
21310 Electrical and electronics engineers,21310,15,1e+05,6.423620125,4.707359884,0.615092593,Electrical and electronics engineers,High Exposure,High Complementarity,HE-HC,
21311 Computer engineers (except software engineers and designers),21311,50,60000,6.569785616,5.07829933,0.575277778,Computer engineers (except software engineers and designers),High Exposure,Low Complementarity,HE-LC,
21399 Other professional engineers,21399,20,76000,6.469651611,4.58957383,0.639316239,Other professional engineers,High Exposure,High Complementarity,HE-HC,
22100 Chemical technologists and technicians,22100,15,45000,6.084932755,4.638538427,0.585925926,Chemical technologists and technicians,High Exposure,Low Complementarity,HE-LC,
22110 Biological technologists and technicians,22110,1060,39441.5094339623,6.170363434,4.68262025,0.589444444,Biological technologists and technicians,High Exposure,Low Complementarity,HE-LC,
22112 Forestry technologists and technicians,22112,185,45405.4054054054,5.85443334,3.610888657,0.7325,Forestry technologists and technicians,Low Exposure,High Complementarity,LE-HC,
22113 Conservation and fishery officers,22113,1150,39208.6956521739,6.117601669,4.12620778,0.67587963,Conservation and fishery officers,High Exposure,High Complementarity,HE-HC,
22114 Landscape and horticulture technicians and specialists,22114,650,,5.212270823,4.365276815,0.510833333,Landscape and horticulture technicians and specialists,Low Exposure,Low Complementarity,LE-LC,
22212 Drafting technologists and technicians,22212,15,36000,6.43860866,5.184226028,0.543134921,Drafting technologists and technicians,High Exposure,Low Complementarity,HE-LC,
22214 Technical occupations in geomatics and meteorology,22214,275,54072.7272727273,6.410887506,5.117388913,0.550555556,Technical occupations in geomatics and meteorology,High Exposure,Low Complementarity,HE-LC,
22220 Computer network and web technicians,22220,1185,57232.0675105485,6.46098082,5.08742883,0.561041667,Computer network and web technicians,High Exposure,Low Complementarity,HE-LC,
22221 User support technicians,22221,845,49079.2899408284,6.072101685,4.547017228,0.598611111,User support technicians,High Exposure,Low Complementarity,HE-LC,
22222 Information systems testing technicians,22222,60,33500,6.584672242,5.254934264,0.550277778,Information systems testing technicians,High Exposure,Low Complementarity,HE-LC,
22232 Occupational health and safety specialists,22232,480,,6.495117106,4.520532399,0.651805556,Occupational health and safety specialists,High Exposure,High Complementarity,HE-HC,
22233 Construction inspectors,22233,40,61250,6.201742964,4.23441228,0.665555556,Construction inspectors,High Exposure,High Complementarity,HE-HC,
22300 Civil engineering technologists and technicians,22300,160,48000,6.334761929,4.793328554,0.591388889,Civil engineering technologists and technicians,High Exposure,Low Complementarity,HE-LC,
22301 Mechanical engineering technologists and technicians,22301,40,76000,5.980606607,4.326422679,0.624814815,Mechanical engineering technologists and technicians,High Exposure,High Complementarity,HE-HC,
22302 Industrial engineering and manufacturing technologists and technicians,22302,0,,6.309841231,4.627216903,0.615,Industrial engineering and manufacturing technologists and technicians,High Exposure,High Complementarity,HE-HC,
22310 Electrical and electronics engineering technologists and technicians,22310,175,54657.1428571429,6.181654365,4.53810689,0.61412037,Electrical and electronics engineering technologists and technicians,High Exposure,High Complementarity,HE-HC,
22311 Electronic service technicians (household and business equipment),22311,200,,5.793745084,4.000438539,0.658472222,Electronic service technicians (household and business equipment),Low Exposure,High Complementarity,LE-HC,
30010 Managers in health care,30010,5115,93207.8201368524,6.660997535,5.178236984,0.57125,Managers in health care,High Exposure,Low Complementarity,HE-LC,
31100 Specialists in clinical and laboratory medicine,31100,745,145570.469798658,6.3362572,3.714613111,0.763002137,Specialists in clinical and laboratory medicine,High Exposure,High Complementarity,HE-HC,
31101 Specialists in surgery,31101,70,,6.278439261,3.856972106,0.733125,Specialists in surgery,High Exposure,High Complementarity,HE-HC,
31102 General practitioners and family physicians,31102,1650,144826.060606061,6.492166218,3.8379599,0.757361111,General practitioners and family physicians,High Exposure,High Complementarity,HE-HC,
31112 Audiologists and speech-language pathologists,31112,1435,68029.2682926829,6.494087008,4.20228669,0.701111111,Audiologists and speech-language pathologists,High Exposure,High Complementarity,HE-HC,
31120 Pharmacists,31120,225,78000,6.313195205,3.975559314,0.718611111,Pharmacists,High Exposure,High Complementarity,HE-HC,
31121 Dietitians and nutritionists,31121,1505,58633.8870431894,6.504914839,4.400512307,0.672083333,Dietitians and nutritionists,High Exposure,High Complementarity,HE-HC,
31200 Psychologists,31200,1945,77081.7480719795,6.658392216,4.73540152,0.637111111,Psychologists,High Exposure,High Complementarity,HE-HC,Psychologists
31201 Chiropractors,31201,100,,5.948406252,3.559129741,0.75,Chiropractors,Low Exposure,High Complementarity,LE-HC,
31202 Physiotherapists,31202,1175,67825.5319148936,5.863692719,3.348820064,0.777222222,Physiotherapists,Low Exposure,High Complementarity,LE-HC,
31203 Occupational therapists,31203,2800,67148.5714285714,6.139053132,3.749677744,0.7375,Occupational therapists,High Exposure,High Complementarity,HE-HC,
31204 Kinesiologists and other professional occupations in therapy and assessment,31204,830,39646.9879518072,6.133306638,4.020612444,0.692916667,Kinesiologists and other professional occupations in therapy and assessment,High Exposure,High Complementarity,HE-HC,
31209 Other professional occupations in health diagnosing and treating,31209,165,46272.7272727273,6.041861689,4.28340382,0.638269231,Other professional occupations in health diagnosing and treating,High Exposure,High Complementarity,HE-HC,
31300 Nursing coordinators and supervisors,31300,1595,72068.3385579937,6.380558513,5.162935263,0.539166667,Nursing coordinators and supervisors,High Exposure,Low Complementarity,HE-LC,
31301 Registered nurses and registered psychiatric nurses,31301,24055,68214.5603824569,6.163441229,3.897713837,0.716468254,Registered nurses and registered psychiatric nurses,High Exposure,High Complementarity,HE-HC,
31302 Nurse practitioners,31302,1000,97360,6.145852755,3.739490892,0.739861111,Nurse practitioners,High Exposure,High Complementarity,HE-HC,
"31303 Physician assistants, midwives and allied health professionals",31303,115,74956.5217391304,6.287033885,4.184435401,0.683156566,"Physician assistants, midwives and allied health professionals",High Exposure,High Complementarity,HE-HC,
32101 Licensed practical nurses,32101,3575,48408.2517482518,5.8134515,4.137239651,0.636666667,Licensed practical nurses,Low Exposure,High Complementarity,LE-HC,
32102 Paramedical occupations,32102,345,66753.6231884058,5.660511188,3.746943934,0.686388889,Paramedical occupations,Low Exposure,High Complementarity,LE-HC,
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",32103,1145,53436.6812227074,6.039097481,3.997363532,0.685694444,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",High Exposure,High Complementarity,HE-HC,
32104 Animal health technologists and veterinary technicians,32104,210,39285.7142857143,6.165838578,4.202505626,0.664722222,Animal health technologists and veterinary technicians,High Exposure,High Complementarity,HE-HC,
32109 Other technical occupations in therapy and assessment,32109,1815,46265.6749311295,5.939528393,4.401509341,0.60770202,Other technical occupations in therapy and assessment,Low Exposure,Low Complementarity,LE-LC,
32111 Dental hygienists and dental therapists,32111,335,58937.3134328358,5.813774578,4.455612239,0.581944444,Dental hygienists and dental therapists,Low Exposure,Low Complementarity,LE-LC,
32112 Dental technologists and technicians,32112,75,24533.3333333333,5.960452914,4.938897511,0.519722222,Dental technologists and technicians,Low Exposure,Low Complementarity,LE-LC,
32120 Medical laboratory technologists,32120,270,62074.0740740741,6.08286021,4.471122727,0.613373016,Medical laboratory technologists,High Exposure,High Complementarity,HE-HC,
32121 Medical radiation technologists,32121,290,63758.6206896552,5.917956965,4.264981415,0.627638889,Medical radiation technologists,Low Exposure,High Complementarity,LE-HC,
32122 Medical sonographers,32122,110,53000,5.915555518,4.525399971,0.583333333,Medical sonographers,Low Exposure,Low Complementarity,LE-LC,
32123 Cardiology technologists and electrophysiological diagnostic technologists,32123,20,64000,5.993582458,4.355336586,0.621666667,Cardiology technologists and electrophysiological diagnostic technologists,High Exposure,High Complementarity,HE-HC,
32124 Pharmacy technicians,32124,150,41500,5.93628949,4.01564535,0.671111111,Pharmacy technicians,Low Exposure,High Complementarity,LE-HC,
32129 Other medical technologists and technicians,32129,190,55473.6842105263,5.93628949,4.01564535,0.671111111,Other medical technologists and technicians,Low Exposure,High Complementarity,LE-HC,
32200 Traditional Chinese medicine practitioners and acupuncturists,32200,160,29625,6.295661264,4.005230736,0.7125,Traditional Chinese medicine practitioners and acupuncturists,High Exposure,High Complementarity,HE-HC,
32201 Massage therapists,32201,21840,23679.5787545788,5.374356796,4.124818841,0.580833333,Massage therapists,Low Exposure,Low Complementarity,LE-LC,
32209 Other practitioners of natural healing,32209,160,19600,6.295661264,4.005230736,0.7125,Other practitioners of natural healing,High Exposure,High Complementarity,HE-HC,
33100 Dental assistants and dental laboratory assistants,33100,260,32211.5384615385,5.900693731,4.56082782,0.575972222,Dental assistants and dental laboratory assistants,Low Exposure,Low Complementarity,LE-LC,
33101 Medical laboratory assistants and related technical occupations,33101,300,36993.3333333333,5.9432616,4.45765162,0.598611111,Medical laboratory assistants and related technical occupations,Low Exposure,Low Complementarity,LE-LC,
"33102 Nurse aides, orderlies and patient service associates",33102,42850,29298.2263710618,5.809991435,4.428981618,0.587301587,"Nurse aides, orderlies and patient service associates",Low Exposure,Low Complementarity,LE-LC,Nurse aides
33103 Pharmacy technical assistants and pharmacy assistants,33103,95,40631.5789473684,5.884879628,4.329769151,0.611979167,Pharmacy technical assistants and pharmacy assistants,Low Exposure,Low Complementarity,LE-LC,
33109 Other assisting occupations in support of health services,33109,2055,30715.7177615572,6.014574201,4.546902734,0.592373737,Other assisting occupations in support of health services,High Exposure,Low Complementarity,HE-LC,
40010 Government managers - health and social policy development and program administration,40010,70,87000,6.471193881,4.415844889,0.667407407,Government managers - health and social policy development and program administration,High Exposure,High Complementarity,HE-HC,
"40011 Government managers - economic analysis, policy development and program administration",40011,20,40000,6.471193881,4.415844889,0.667407407,"Government managers - economic analysis, policy development and program administration",High Exposure,High Complementarity,HE-HC,
40020 Administrators - post-secondary education and vocational training,40020,210,57571.4285714286,6.693199791,4.376608974,0.694444444,Administrators - post-secondary education and vocational training,High Exposure,High Complementarity,HE-HC,
"40030 Managers in social, community and correctional services",40030,21265,60719.2828591583,6.304962693,4.184690451,0.687685185,"Managers in social, community and correctional services",High Exposure,High Complementarity,HE-HC,Managers in social services
41101 Lawyers and Quebec notaries,41101,800,72206.25,6.633534727,4.265731359,0.705277778,Lawyers and Quebec notaries,High Exposure,High Complementarity,HE-HC,
41201 Post-secondary teaching and research assistants,41201,475,,6.565268621,5.070863464,0.57625,Post-secondary teaching and research assistants,High Exposure,Low Complementarity,HE-LC,
41210 College and other vocational instructors,41210,2460,35945.1219512195,6.577923525,4.397325173,0.680071429,College and other vocational instructors,High Exposure,High Complementarity,HE-HC,
41220 Secondary school teachers,41220,105,36095.2380952381,6.571574886,4.337239425,0.688333333,Secondary school teachers,High Exposure,High Complementarity,HE-HC,
41221 Elementary school and kindergarten teachers,41221,195,30307.6923076923,6.343902776,4.108684123,0.700722222,Elementary school and kindergarten teachers,High Exposure,High Complementarity,HE-HC,
41300 Social workers,41300,30365,59135.0238761732,6.48878506,4.344297117,0.678796296,Social workers,High Exposure,High Complementarity,HE-HC,
41301 Therapists in counselling and related specialized therapies,41301,15310,49870.346178968,6.477722812,4.494776498,0.655425926,Therapists in counselling and related specialized therapies,High Exposure,High Complementarity,HE-HC,
41302 Religious leaders,41302,410,42310.9756097561,6.668950389,4.179208911,0.721666667,Religious leaders,High Exposure,High Complementarity,HE-HC,
41311 Probation and parole officers,41311,35,56000,6.1394277,4.101478783,0.680277778,Probation and parole officers,High Exposure,High Complementarity,HE-HC,
41320 Educational counsellors,41320,855,36642.1052631579,6.473582601,4.191644734,0.700833333,Educational counsellors,High Exposure,High Complementarity,HE-HC,
41321 Career development practitioners and career counsellors (except education),41321,3840,41899.7395833333,6.569150282,4.555959641,0.655416667,Career development practitioners and career counsellors (except education),High Exposure,High Complementarity,HE-HC,
"41400 Natural and applied science policy researchers, consultants and program officers",41400,1815,57907.9889807163,6.499434183,4.621468795,0.636944444,"Natural and applied science policy researchers, consultants and program officers",High Exposure,High Complementarity,HE-HC,
41401 Economists and economic policy researchers and analysts,41401,160,76375,6.660172617,5.087616895,0.584444444,Economists and economic policy researchers and analysts,High Exposure,Low Complementarity,HE-LC,
41402 Business development officers and market researchers and analysts,41402,1135,50711.013215859,6.677697266,5.28465542,0.556944444,Business development officers and market researchers and analysts,High Exposure,Low Complementarity,HE-LC,
"41403 Social policy researchers, consultants and program officers",41403,5410,48786.2846580407,6.637994738,5.342212603,0.543333333,"Social policy researchers, consultants and program officers",High Exposure,Low Complementarity,HE-LC,Social policy researchers
"41404 Health policy researchers, consultants and program officers",41404,3910,61760.1023017903,6.427413732,4.795460963,0.605694444,"Health policy researchers, consultants and program officers",High Exposure,Low Complementarity,HE-LC,Health policy researchers
"41405 Education policy researchers, consultants and program officers",41405,2485,41313.078470825,6.645306273,4.391439895,0.6875,"Education policy researchers, consultants and program officers",High Exposure,High Complementarity,HE-HC,
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",41406,1220,,6.595008835,5.519656005,0.511388889,"Recreation, sports and fitness policy researchers, consultants and program officers",High Exposure,Low Complementarity,HE-LC,
41407 Program officers unique to government,41407,210,68809.5238095238,6.592338725,5.471641142,0.518333333,Program officers unique to government,High Exposure,Low Complementarity,HE-LC,
41409 Other professional occupations in social science,41409,1065,,6.563945292,4.706995033,0.631888889,Other professional occupations in social science,High Exposure,High Complementarity,HE-HC,
42100 Police officers (except commissioned),42100,45,,5.760064855,3.490125382,0.742083333,Police officers (except commissioned),Low Exposure,High Complementarity,LE-HC,
42101 Firefighters,42101,55,43636.3636363636,5.676381746,3.434848883,0.743944444,Firefighters,Low Exposure,High Complementarity,LE-HC,
42200 Paralegals and related occupations,42200,25,34000,6.648947041,5.385584862,0.538055556,Paralegals and related occupations,High Exposure,Low Complementarity,HE-LC,
42201 Social and community service workers,42201,88770,38735.509744283,6.3485823,4.279757509,0.674222222,Social and community service workers,High Exposure,High Complementarity,HE-HC,Social service workers
42202 Early childhood educators and assistants,42202,178040,25331.6586160413,6.048389039,4.455646592,0.611666667,Early childhood educators and assistants,High Exposure,Low Complementarity,HE-LC,Early childhood educators
42203 Instructors of persons with disabilities,42203,7725,40309.9029126214,6.254146039,3.933006025,0.720888889,Instructors of persons with disabilities,High Exposure,High Complementarity,HE-HC,Instructors of persons with disabilities
43109 Other instructors,43109,770,,6.422526961,4.723674415,0.613333333,Other instructors,High Exposure,High Complementarity,HE-HC,
43200 Sheriffs and bailiffs,43200,15,50000,5.732806708,3.944183221,0.660555556,Sheriffs and bailiffs,Low Exposure,High Complementarity,LE-HC,
43201 Correctional service officers,43201,140,52285.7142857143,5.618266032,3.753313835,0.680277778,Correctional service officers,Low Exposure,High Complementarity,LE-HC,
43202 By-law enforcement and other regulatory officers,43202,90,,5.969503326,4.459371236,0.601180556,By-law enforcement and other regulatory officers,Low Exposure,Low Complementarity,LE-LC,
44100 Home child care providers,44100,28555,,5.888368052,4.332676649,0.612638889,Home child care providers,Low Exposure,Low Complementarity,LE-LC,Home child care providers
"44101 Home support workers, caregivers and related occupations",44101,24170,,5.77655005,4.600380276,0.551944444,"Home support workers, caregivers and related occupations",Low Exposure,Low Complementarity,LE-LC,Home support workers
"50010 Library, archive, museum and art gallery managers",50010,3690,57000,6.471193881,4.415844889,0.667407407,"Library, archive, museum and art gallery managers",High Exposure,High Complementarity,HE-HC,
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",50011,135,64444.4444444445,6.484575341,4.607653991,0.638564815,"Managers - publishing, motion pictures, broadcasting and performing arts",High Exposure,High Complementarity,HE-HC,
"50012 Recreation, sports and fitness program and service directors",50012,610,58167.2131147541,6.25036284,4.515055792,0.625231481,"Recreation, sports and fitness program and service directors",High Exposure,High Complementarity,HE-HC,
51101 Conservators and curators,51101,2190,52931.5068493151,6.1800504,4.231895951,0.662777778,Conservators and curators,High Exposure,High Complementarity,HE-HC,Conservators and curators
51102 Archivists,51102,190,29789.4736842105,6.339542645,4.781071745,0.594166667,Archivists,High Exposure,Low Complementarity,HE-LC,
51110 Editors,51110,365,45945.2054794521,6.543130636,4.811018554,0.613055556,Editors,High Exposure,High Complementarity,HE-HC,
51111 Authors and writers (except technical),51111,425,,6.489752863,5.157400654,0.552962963,Authors and writers (except technical),High Exposure,Low Complementarity,HE-LC,
